Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,70.099998,70.620003,69.559998,69.599998,69.599998,1243062
2017-10-25,69.519997,69.889999,68.510002,68.660004,68.660004,1628836
2017-10-26,68.839996,69.720001,68.790001,69.639999,69.639999,1738960
2017-10-27,70.000000,71.040001,69.959999,70.000000,70.000000,1808579
2017-10-30,69.910004,69.989998,69.330002,69.459999,69.459999,1267814
2017-10-31,69.900002,70.190002,69.510002,70.139999,70.139999,1370429
2017-11-01,70.510002,70.769997,70.260002,70.260002,70.260002,1315008
2017-11-02,70.260002,70.739998,69.699997,69.980003,69.980003,1280151
2017-11-03,70.099998,70.550003,69.639999,70.529999,70.529999,1242528
2017-11-06,70.500000,70.820000,70.330002,70.400002,70.400002,1094076
2017-11-07,70.500000,70.500000,69.510002,69.620003,69.620003,1382455
2017-11-08,69.620003,70.029999,69.260002,69.440002,69.440002,1396505
2017-11-09,69.510002,69.860001,69.139999,69.470001,69.470001,1450018
2017-11-10,69.570000,69.750000,68.849998,68.959999,68.959999,1324294
2017-11-13,69.180000,69.669998,68.660004,69.230003,69.230003,1480594
2017-11-14,69.589996,69.589996,68.550003,68.790001,68.790001,1242176
2017-11-15,68.500000,69.970001,68.500000,68.680000,68.680000,2096019
2017-11-16,68.879997,69.430000,68.720001,69.230003,69.230003,1073705
2017-11-17,69.370003,69.540001,68.680000,68.919998,68.919998,1404691
2017-11-20,68.830002,69.430000,68.750000,69.110001,69.110001,1058845
2017-11-21,69.129997,69.540001,68.790001,69.250000,69.250000,1308013
2017-11-22,69.230003,70.430000,69.220001,69.489998,69.489998,1370913
2017-11-23,69.220001,70.389999,69.220001,70.250000,70.250000,1316542
2017-11-24,71.000000,71.540001,70.680000,70.790001,70.790001,1983813
2017-11-27,70.860001,71.379997,70.430000,70.489998,70.489998,1025849
2017-11-28,70.739998,71.660004,70.349998,71.379997,71.379997,1233334
2017-11-29,71.699997,71.730003,71.180000,71.430000,71.430000,1130361
2017-11-30,71.269997,71.690002,70.919998,70.919998,70.919998,2142966
2017-12-01,70.970001,71.000000,69.690002,69.790001,69.790001,1991507
2017-12-04,70.099998,70.150002,69.279999,69.620003,69.620003,1717735
2017-12-05,69.489998,70.349998,69.489998,70.120003,70.120003,1345597
2017-12-06,69.879997,71.309998,69.739998,70.809998,70.809998,1619461
2017-12-07,70.709999,71.199997,70.610001,70.830002,70.830002,1277204
2017-12-08,70.839996,70.959999,70.169998,70.940002,70.940002,1746756
2017-12-11,70.839996,70.970001,70.459999,70.830002,70.830002,1181254
2017-12-12,70.830002,71.580002,70.410004,71.540001,71.540001,1455467
2017-12-13,71.250000,71.650002,70.900002,71.110001,71.110001,1062008
2017-12-14,71.169998,71.389999,70.650002,70.730003,70.730003,1345142
2017-12-15,70.620003,71.290001,70.300003,71.199997,71.199997,3059853
2017-12-18,71.529999,72.129997,71.370003,71.820000,71.820000,1715887
2017-12-19,71.650002,71.970001,70.860001,70.919998,70.919998,998457
